rno,th,pr
-,0,0
101302,0,0
101303,0,0
101304,0,0
101305,0,0
101307,0,0
101309,0,0
101310,0,0
101313,0,0
101319,0,0
101320,0,0
101322,0,0
101323,0,0
101324,0,0
101327,0,0
101328,0,0
101332,0,0
101333,0,0
